"opening_code","most_popular_opener_move_w","most_popular_opener_move_b"
C00,417,389
A00,398,570
C41,396,267
B00,365,218
B01,358,332
D00,341,360
A40,338,261
C20,299,355
C40,266,167
C50,240,268
B20,223,320
D02,222,193
C44,195,174
C42,179,135
B07,169,117
C55,165,131
A04,156,101
C46,149,107
C45,143,128
C02,132,131
B21,120,107
D20,111,91
D06,107,58
A45,102,134
B50,99,114
C21,99,70
B30,97,123
B10,93,91
D30,85,58
B02,84,67
C23,84,63
C01,83,65
B06,81,88
B12,80,79
A01,76,80
B32,69,47
C24,69,38
C62,68,63
A10,68,56
C57,67,50
C60,63,46
A06,59,58
C68,57,40
C65,54,47
A20,54,43
B90,54,43
B40,51,68
B23,49,53
C30,49,39
C34,49,24
C70,48,19
C48,46,31
A41,45,30
D10,44,58
D31,44,29
B22,42,51
B54,42,34
C53,41,40
B13,39,38
A43,37,33
C26,36,29
A13,36,10
E20,35,39
B27,34,29
A21,34,25
C22,33,53
A02,32,45
D35,32,37
A15,32,27
C64,32,21
C10,31,20
A03,30,38
A80,29,23
D01,28,56
A46,27,46
A22,26,27
D07,26,19
D15,26,18
E61,25,30
C47,25,28
B25,24,27
E00,23,24
B33,23,23
B15,23,7
D11,21,18
A30,21,15
C27,20,16
C66,20,7
C78,19,10
C77,18,27
A08,18,15
D08,18,11
D21,18,6
B08,17,23
C11,17,19
B34,17,15
A07,17,10
C61,16,19
A49,16,15
B11,16,14
C33,16,9
A25,16,6
B52,15,17
C67,15,12
D04,14,27
B56,14,15
E90,14,15
A85,14,14
D32,14,10
B03,14,8
B53,14,6
B29,14,5
B57,13,22
B18,13,15
C25,13,15
A84,13,14
D45,13,13
D37,13,11
A34,13,8
C69,13,8
C54,12,25
A48,12,17
D05,12,16
C58,12,15
D43,12,14
C51,12,12
A16,12,11
D12,12,11
A28,12,7
B72,12,7
B45,12,5
E10,11,8
B94,11,7
A53,11,5
D53,11,5
B31,11,3
E12,11,2
B43,10,19
A11,10,10
A42,10,10
A50,10,10
B70,10,9
B09,10,8
C28,10,8
C15,10,7
D55,10,7
D85,10,5
A09,9,8
A05,9,4
A35,9,3
B28,8,15
E60,8,12
D50,8,9
B51,8,6
E15,8,6
C03,8,5
C18,8,4
E76,7,10
B44,7,8
B80,7,8
A57,7,6
B92,7,5
C37,7,4
E70,7,3
C07,6,9
D03,6,9
D94,6,9
E77,6,9
A27,6,5
B84,6,5
C36,6,4
B77,6,3
C59,6,3
D44,6,3
A29,6,2
D46,6,2
A36,6,1
E21,6,1
A52,5,19
C43,5,10
C31,5,6
C14,5,5
D80,5,4
B42,5,3
A44,5,2
C80,5,2
E71,5,2
C06,5,1
E91,5,1
C88,4,13
C05,4,9
B36,4,8
B41,4,6
B19,4,5
E11,4,5
E24,4,5
A17,4,4
C17,4,4
D25,4,4
A70,4,3
B76,4,3
C52,4,3
E81,4,3
A18,4,2
A38,4,2
D52,4,2
D26,4,1
E51,4,1
B46,3,10
A56,3,9
E32,3,7
A51,3,6
C49,3,4
D41,3,4
A58,3,3
B38,3,3
B93,3,3
C72,3,3
D17,3,3
D60,3,3
E34,3,3
E94,3,3
A54,3,2
B05,3,2
B78,3,2
A60,3,1
C63,3,1
C84,3,1
D90,3,1
E30,3,1
E50,3,1
B35,2,8
B86,2,5
E14,2,4
E80,2,4
B95,2,3
C16,2,3
E38,2,3
E67,2,3
E73,2,3
B04,2,2
B14,2,2
B96,2,2
B98,2,2
C13,2,2
C35,2,2
C71,2,2
D24,2,2
D40,2,2
A39,2,1
C08,2,1
C38,2,1
C39,2,1
D57,2,1
E54,2,1
D51,1,6
C89,1,5
C91,1,5
E17,1,4
A47,1,3
D34,1,3
D91,1,3
A81,1,2
A82,1,2
B48,1,2
C56,1,2
D14,1,2
E16,1,2
E59,1,2
E87,1,2
A83,1,1
A91,1,1
B71,1,1
B73,1,1
B82,1,1
B91,1,1
C29,1,1
D18,1,1
D70,1,1
D93,1,1
E53,1,1
E64,1,1
E68,1,1
E92,1,1
E97,1,1
